STORMNET_ID,total_acres,perc_ROW,perc_SWE
STMN0024400398,6.374402,17.45,1.85
STMN0024400403,8.38514,8.37,2.11
STMN0024400430,6.190316,10.48,1.63
STMN0024400449,2.604496,15.63,1.59
STMN0024400463,3.778355,29.11,1.66
STMN0024400467,6.355179,14.61,0.73
STMN0024400633,7.676603,15.7,6.81
STMN0024400639,20.766552,16.31,4.35
STMN0024400651,1.106841,24.37,3.99
STMN0024400654,0.3741,31.25,17.74
STMN0024400656,2.762436,7.26,4.8
STMN0024400662,1.479772,31.33,5.23
STMN0024400666,3.525436,0,0.84
STMN0024400668,4.986199,11.95,1.32
STMN0024400676,12.923343,9.53,1.39
STMN0024503333,6.908029,28.95,0.5
STMN0033400302,10.03454,16.41,5.82
STMN0033400303,1.581177,0,7.82
STMN0033400304,9.929937,6.14,2.61
STMN0033400305,1.048248,0,12.05
STMN0033400312,12.975149,11.87,6.48
STMN0033400347,1.000849,21.59,3.11
STMN0033400357,22.26148,11.62,6.29
STMN0033400371,3.242181,20.59,0.52
STMN0034400205,1.695227,31.29,4.85
STMN0034400214,0.789031,47.35,4.9
STMN0034400219,1.13304,28.14,1.54
STMN0034400224,4.867934,20.43,2.82
STMN0034400230,6.473921,15.44,1.37
STMN0034400236,1.43853,46.46,2.63
STMN0034400241,1.614006,30.15,2.49
STMN0034400244,1.078234,38.55,3.62
STMN0034400286,19.188479,4.57,0.99
STMN0034510878,2.053433,13.88,1
STMN0043063277,1.929549,16.49,3.77
STMN0043400131,1.073043,31.56,9.85
STMN0043400134,1.46076,5.76,4.32
STMN0043400138,7.058791,5.4,4.26
STMN0043400153,6.156746,16.34,1.55
STMN0043400157,2.476265,7.57,11.11
STMN0043400160,6.925567,7.51,3.74
STMN0043400167,4.482583,17.7,6.28
STMN0043400172,3.692451,15.53,3.18
STMN0043400175,0.708854,36.97,0.15
STMN0043400177,1.539056,32.34,5.34
STMN0043400180,6.932977,20.21,2.76
STMN0043400183,7.410779,5.58,1.44
STMN0043400185,9.543999,2.49,1.3
STMN0054057441,1.424055,12.29,8.57
STMN0054057473,1.91632,37.85,1.81
STMN0054400522,4.94088,24.3,1.93
STMN0054400551,15.235074,16.33,9.79
STMN0054400592,17.438895,20.58,1.25
STMN0054401960,66.370033,15.23,8.08
STMN0054503478,30.490693,0,0.01
STMN0061401250,1.306415,12.89,6.51
STMN0061401254,1.513664,32.6,2.51
STMN0061401257,3.307923,14.99,1.45
STMN0061401272,3.19222,22.63,8.1
STMN0061401275,2.715624,22.5,5.17
STMN0061401293,2.973299,23.56,2.11
STMN0061401304,10.931814,18.59,2.62
STMN0061401306,4.163494,16.03,4.75
STMN0061401320,7.39016,15.88,5.32
STMN0061401326,4.377029,8.11,2.12
STMN0061401328,2.441322,14.8,1.76
STMN0061401339,13.292467,6.19,4.3
STMN0061401357,5.406612,19.06,0.84
STMN0061401358,1.742658,12.72,2.04
STMN0061503399,2.26211,11.87,4.15
STMN0062055123,12.234878,8.04,2.34
STMN0062055386,1.641681,0,4.35
STMN0062401116,4.802052,17.03,2.08
STMN0062401120,0.584235,36.27,17.89
STMN0062401121,1.918468,38,5.61
STMN0062401149,9.512667,11.64,2.59
STMN0062401229,5.870853,21,1.55
STMN0063054638,0.845581,0,2.91
STMN0063054640,0.051342,0,28.35
STMN0063054713,0.385339,0,2.55
STMN0063400479,8.724772,40.6,2.73
STMN0063400485,2.651633,56.5,2.78
STMN0063401590,4.263325,11.7,1.5
STMN0063401592,2.09792,13.73,2.47
STMN0063401602,6.413235,0.23,4.02
STMN0063401614,4.65637,31.49,4.7
STMN0063401615,0.372096,28.41,44.18
STMN0063401626,36.670949,26.1,4.48
STMN0063401630,5.57658,14.14,4.55
STMN0063401640,2.212838,41.01,2.57
STMN0063401679,5.353858,21.83,3.96
STMN0063401690,6.362289,24.72,3.43
STMN0063401691,15.216273,29.27,2.4
STMN0063401714,2.233373,26.91,4.63
STMN0063401726,10.732379,11.87,5.12
STMN0063401747,7.769373,7.51,4.44
STMN0063401748,16.38643,29.8,12.67
STMN0063401757,4.911604,15.06,2.51
STMN0063401777,16.786785,14.51,7.96
STMN0063401799,4.714041,25.73,1.47
STMN0063401803,4.31566,13.06,1.44
STMN0063401833,74.050454,23.34,7.2
STMN0063401840,10.630927,14.27,26.56
STMN0063401874,5.649798,17.59,6.8
STMN0063401919,20.618136,19.86,8.06
STMN0063401930,4.042129,18.63,1.76
STMN0063401934,3.230451,10.68,2.27
STMN0063503230,2.38417,12.75,3.77
STMN0063503428,0.898943,37.04,11.5
STMN0064000018,4.576224,12.51,5.98
STMN0064000073,28.852084,8.27,9.81
STMN0064000125,0.526873,47.32,28.1
STMN0064000130,15.16489,11,4.84
STMN0064000140,16.070982,2.18,1.88
STMN0064000222,9.832531,15.86,0.95
STMN0064000245,9.327452,8.79,0
STMN0064000281,9.811322,21.42,1.9
STMN0064000389,29.729989,11.18,5.29
STMN0064000417,0.54719,51.48,13.06
STMN0064000454,17.194295,11.7,5.1
STMN0064055489,10.300443,1,3.07
STMN0064059068,0.74789,14.62,5.19
STMN0064070072,6.105777,1.78,13.68
STMN0064081876,67.696419,6.72,4.13
STMN0064503418,10.804925,18.02,8.54
STMN0064509382,21.826826,0,1.76
STMN0071401063,21.370096,13.28,10.75
STMN0071401109,23.453985,6.08,2.16
STMN0072073654,15.747492,4.45,3.22
STMN0072400962,7.926832,9.2,0.04
STMN0072400970,0.46244,19.34,1.1
STMN0072401009,0.519405,47.03,4.05
STMN0072401012,12.254354,11.56,0.35
STMN0072401032,1.797347,21.78,1.84
STMN0073000180,4.452933,31.23,5.64
STMN0073000250,11.466977,2.73,2.88
STMN0073000315,1.692525,39.45,8.01
STMN0073000317,0.387334,42.65,17.48
STMN0073000325,2.140401,26.77,6.21
STMN0073000409,12.953017,13.46,1.72
STMN0073000442,40.674623,17.23,5.58
STMN0073000448,3.161407,21.9,3.13
STMN0073057013,18.735145,8.22,2.44
STMN0073057029,4.764346,0,0.82
STMN0073066539,6.385349,22.1,8.51
STMN0073075881,34.879797,2.83,1.36
STMN0073086880,1.955904,17.38,0.56
STMN0073086881,2.573816,17.96,2.05
STMN0074000538,16.148153,2.59,11.64
STMN0081400774,21.478146,3.25,7.94
STMN0081400788,6.866735,9.9,1.44
STMN0081400795,0.942106,17.25,0.5
STMN0081400800,6.653824,4.44,0.72
STMN0081400807,38.103546,9.15,2.55
STMN0081400824,7.013891,11.14,2.99
STMN0082054836,4.885361,6.64,5.79
STMN0082400751,30.6014,8.68,4.34
STMN0082400757,26.151766,12.89,7.94
STMN0082400760,2.607405,7.56,3.19
STMN0082400764,1.762489,0,0
STMN0082503356,1.412842,27.54,3.48
STMN0083078530,3.78064,0.51,0
STMN0083401439,18.485569,17.17,6.78
STMN0083401530,13.274749,9.99,6.58
STMN0083401541,105.354228,7.11,5.91
STMN0084401371,5.230768,20.83,5.67
STMN0084401406,1.774747,19.95,2.92
STMN0084401407,3.773408,16.95,0
STMN0084401418,0.775643,29.96,7.68
STMN0102402395,6.384192,25.63,4.37
STMN0102402407,36.993681,18.56,7.6
STMN0102402414,21.988144,17.78,4.11
STMN0102402663,5.32308,19.34,5.51
STMN0102402675,4.907476,48.6,0.54
STMN0102402744,54.925216,18.88,2.53
STMN0102402764,11.697952,20.64,1.8
STMN0102402779,1.113494,40.88,2.85
STMN0102402782,1.636231,29.88,2.18
STMN0102402941,53.973657,19.41,2.37
STMN0102402955,11.831337,27.72,0.76
STMN0102402961,8.475307,26.46,2.29
STMN0102403015,10.2217,11.73,8.51
STMN0102503553,4.392267,21.52,13.65
STMN0104403710,11.684325,17.96,2.76
STMN0104403733,290.698676,13.89,2.87
STMN0104403834,2.57549,22.46,2.53
STMN0104403861,15.735472,11.83,20
STMN0111055750,1.445704,23.63,1.31
STMN0111055762,1.915612,32.97,5.65
STMN0111062524,16.085846,14.08,7.36
STMN0111063558,0.445779,0,74.61
STMN0111067612,2.341889,0,0.58
STMN0111067665,3.542927,2.08,49.22
STMN0111067666,3.187388,0.13,27.76
STMN0111402028,12.818669,21.44,2.66
STMN0111402029,5.32423,19.31,12.41
STMN0111402030,45.34007,31.99,3.1
STMN0111402111,7.356868,7.2,9.56
STMN0111402120,27.294283,2.72,0.56
STMN0111402138,26.297958,13.02,7.99
STMN0111402145,0.359804,16.57,33.94
STMN0111402151,7.083662,27.68,10.9
STMN0111402157,1.198765,29.18,12.72
STMN0111402174,11.147129,7.97,12.08
STMN0111402185,3.880002,16.94,17.28
STMN0111402210,0.681151,54.8,5.18
STMN0111402215,8.839553,21.41,3.51
STMN0111402293,1.062393,54.48,2.59
STMN0111402295,1.561987,35.03,4.97
STMN0111402296,45.138493,22.42,4.98
STMN0111402298,21.078402,12.53,11.13
STMN0111402319,10.861999,17.19,3.61
STMN0111402331,11.463295,23.34,15.98
STMN0111402352,3.325226,15.91,20.63
STMN0111402360,1.052361,24.2,3.76
STMN0111402372,11.649878,24.76,4.84
STMN0111402378,4.770106,26.53,1.14
STMN0111402380,18.310892,21.68,1.57
STMN0111402384,1.116897,40.51,5.23
STMN0111402390,23.056266,21.17,8.23
STMN0111503247,6.209044,4.87,12.09
STMN0111503248,3.99758,18.38,9.81
STMN0111503523,2.194914,28.41,1.14
STMN0111503525,8.645001,13.65,20.32
STMN0111503527,7.879755,12.97,11.32
STMN0111503530,40.061986,9.47,5.92
STMN0111503539,3.971414,53.09,2.9
STMN0111503543,3.690892,3.74,21.48
STMN0112000730,6.434545,0,3.57
STMN0112000889,2.662702,45.04,4.14
STMN0112000903,3.544785,0,5.97
STMN0112000939,1.283163,15.32,1.18
STMN0112001053,5.254836,19.97,12.79
STMN0112001104,17.859436,4.88,8.41
STMN0112001106,20.684891,8.12,2.16
STMN0112001222,1.501772,4.24,3.56
STMN0112001318,3.932277,15.62,14.03
STMN0112001358,29.572979,31.8,1.59
STMN0112001477,18.036278,17.91,11.07
STMN0112001483,0.707875,27.68,8.57
STMN0112001498,4.621677,30.39,4.82
STMN0112001530,3.890139,5.2,8.88
STMN0112001538,4.100872,8.52,17.02
STMN0112001592,1.142193,16.11,12.9
STMN0112001637,7.531071,12.82,3.31
STMN0112001661,2.431759,8.12,8.49
STMN0112001672,7.188144,12.93,9.74
STMN0112001747,9.515681,5,2.65
STMN0112001776,2.697986,0,7.71
STMN0112001822,0.696316,0,5.18
STMN0112001858,2.523004,0,3.61
STMN0112002018,18.814494,5.99,13.18
STMN0112002070,0.603334,86.77,13.1
STMN0112002144,20.584363,30.31,14.26
STMN0112002145,0.326737,27.17,12.35
STMN0112002158,0.759646,35.63,6.68
STMN0112002161,3.278583,19.67,9.77
STMN0112002175,19.452426,11.19,7.16
STMN0112002177,3.935357,9.2,3.06
STMN0112002182,1.222132,16.8,4.53
STMN0112002188,5.948611,19.27,5.34
STMN0112002225,0.275308,17.13,12.45
STMN0112002238,1.758145,0,13.45
STMN0112054480,5.012755,0,19.12
STMN0112054505,14.254114,3.45,1.2
STMN0112054606,3.65046,8.79,1.73
STMN0112079763,4.534882,0,9.8
STMN0112091221,4.648212,26.87,3.11
STMN0112091222,10.28175,14.87,4.58
STMN0112094075,1.844064,24.16,9.97
STMN0112503513,0.252511,44.09,24.7
STMN0112508267,1.893799,14.84,5.89
STMN0113002437,5.66182,6.64,12.42
STMN0113003935,8.699989,22.51,2.78
STMN0113004193,2.24079,0,7.85
STMN0113053943,33.915669,12.88,5.07
STMN0113055657,0.674181,4.58,2.58
STMN0113095933,0.140462,69.07,11.4
