STORMNET_ID,Owner,Tot_Acres,Imp_Acres,ROW_Acres,Easement_Acres,Conveyance_Len_FT,STW_Conveyance_Len_FT,row_convey_length_ft,BMP_Per_DA,VDOT_BMP_Count,Treated_Acres,Inlets,Outlets,Buildings,County_Area,County_Area_Imp,Percent_STW_Easement,Percent_ROW,Percent_Treated
STMN0742051206,Unknown,62.153739,3.500562,0.124307,22.232392,3829.77,450.09,0,0,0,0,3,2,0,0,0,35.77,0.2,0
STMN0354516624,FFX,148.212825,36.421364,13.887542,21.061042,18422.03,10259.68,4010.7,6,0,31.178319,135,22,0,0,0,14.21,9.37,21.036182
STMN1073502097,Private,123.758855,52.957626,8.675496,16.101027,24254.45,16517.31,3283.67,6,0,37.714782,201,20,1,25.759317,4.8847,13.01,7.01,30.474411
STMN1122517951,VPDES,187.368768,15.70261,0,15.926345,1576.6,1356.7,0,3,1,15.86,0,2,0,0,0,8.5,0,8.464591
STMN0252011350,FFX,138.920437,37.482058,12.71122,14.933947,20027.37,13100.59,2641.58,6,0,10.75,112,21,1,2.427194,1.307602,10.75,9.15,7.738242
STMN0454038861,FFX,267.661441,110.037092,55.218555,14.400186,46418.74,22139.79,18234.67,21,1,87.609999,331,37,1,8.564573,2.591701,5.38,20.63,32.731647
STMN0911473479,FFX,258.868452,104.07142,31.91848,14.03067,44429.73,22101.35,10988.96,47,0,37.22,336,36,4,23.540487,4.099527,5.42,12.33,14.377959
STMN0154408103,FFX,114.973153,49.337473,6.197053,13.440362,23509.91,12461.63,972.81,5,0,125.05,166,7,1,13.940039,0.365243,11.69,5.39,100
STMN1083096064,VDOT,139.937667,53.824955,16.918464,13.434016,24770.33,14915.44,2421.24,12,2,39.39,159,34,2,7.137531,4.821828,9.6,12.09,28.148247
STMN0432035027,FFX,108.344874,54.094727,8.710928,12.730523,17972.22,8399.14,2435.88,1,0,121.8,121,5,0,0.076898,0,11.75,8.04,100
STMN0442035113,FFX,97.186997,27.485295,10.787757,12.226124,11676.6,7165.44,1290.44,7,0,99.143168,50,31,0,0,0,12.58,11.1,100
STMN1013494095,Private,252.797535,121.521912,39.335297,12.083722,45654.78,23166.35,11538.64,20,0,50.416757,345,17,5,20.403538,10.44165,4.78,15.56,19.943532
STMN0532045298,FFX,155.540162,33.644975,12.940942,11.898822,12416.23,7043.94,3016.05,4,0,66.792312,92,16,2,0.955644,0.262405,7.65,8.32,42.942164
STMN1072057921,FFX,84.189961,31.175745,1.826922,10.700544,19757.08,10443.22,1185.95,1,0,24.345179,166,8,5,18.005605,2.147546,12.71,2.17,28.916962
STMN0171006749,FFX,88.391632,48.932657,8.176226,10.430213,22534.31,9399.83,2777.68,1,0,87.06,178,13,1,0.984799,0.489046,11.8,9.25,98.493486
STMN0172004206,Private,131.555959,44.141797,8.235403,10.36661,21073.36,10614.66,888.57,1,0,0,122,27,1,1.715802,0.004812,7.88,6.26,0
STMN0164407017,Unknown,23.541484,8.171309,2.495397,10.327649,4796.41,1915.63,595.59,2,0,0,40,4,0,0,0,43.87,10.6,0
STMN0543047097,FFX,133.421907,57.719168,13.609035,10.126723,25547.92,7673.34,2494.87,18,0,55.535527,184,21,3,14.74797,0.727043,7.59,10.2,41.623993
STMN0802454292,FFX,222.654797,88.12495,35.624768,10.086262,28839.27,10307.98,11323.01,14,0,17.599,208,18,2,27.885565,4.898218,4.53,16,7.904164
STMN0294019277,FFX,324.113092,199.231148,94.770668,10.047506,63715.77,16031.73,21105.84,23,4,39.44,358,38,1,0.595349,0.051526,3.1,29.24,12.168592
STMN0344516107,FFX,97.968745,59.448692,11.334984,9.385406,26316.55,11743.88,3727.82,7,0,77.01,188,24,1,3.211655,2.448564,9.58,11.57,78.606701
STMN1101498882,FFX,98.866417,20.129553,17.271963,9.18469,7298.53,2973.31,3269.66,1,0,0,47,14,0,0.054581,0,9.29,17.47,0
STMN0553056664,FFX,137.867322,44.138205,14.145187,9.168177,21305.01,12711.09,4518.42,5,0,2.11,200,6,1,2.479132,0.559906,6.65,10.26,1.530457
STMN0252410426,FFX,71.884531,24.338195,14.815402,9.165278,12445.39,7114.27,4098.03,2,0,0,111,7,1,2.707275,0.068445,12.75,20.61,0
STMN0442031556,FFX,120.753233,70.920535,13.669266,8.947815,26951.61,10673.54,5202.49,14,0,79.749999,180,12,1,0.003235,0,7.41,11.32,66.043781
STMN0174007629,FFX,154.027874,70.006498,17.744011,8.687172,34126.55,11466.08,5140.57,18,0,82.85,254,36,1,0.09701,0.089153,5.64,11.52,53.788965
STMN0191005718,FFX,33.161235,6.951591,2.427402,8.674979,3776.83,1756.47,1511.53,1,0,21.17,23,4,0,9.098013,0.000282,26.16,7.32,63.839601
STMN0584434372,FFX,198.331553,85.212332,22.074302,8.647256,35101.8,8797.8,6440.95,8,0,11.914,229,25,4,53.113543,23.395806,4.36,11.13,6.007113
STMN0994495042,VDOT,24.125211,2.332885,1.95173,8.598225,186.7,15.75,153.85,0,0,0,1,1,2,0.583231,0.265565,35.64,8.09,0
STMN0291012815,VDOT,244.731984,170.459443,55.113643,8.590093,43719.6,17717.27,7863.19,99,0,7.782746,276,30,2,2.416265,1.005198,3.51,22.52,3.18011
STMN0551045051,FFX,68.131499,24.924055,32.594109,8.557316,9663.71,1506.99,6376.45,2,2,7.89,47,12,0,0.735847,0.018185,12.56,47.84,11.580546
STMN1074058314,FFX,114.700045,53.241774,5.792352,8.556623,22941,14054.24,474.98,2,0,102.45,177,14,0,0,0,7.46,5.05,89.31993
STMN0434506217,FFX,72.482502,18.201094,4.443177,8.538439,6155.2,3756.93,1015.39,1,0,82.6,49,5,0,0.218244,0,11.78,6.13,100
STMN0251411492,FFX,73.900068,37.890595,0.03695,8.439388,17300.55,8551.21,0,3,0,39.96,123,14,1,14.077816,4.543469,11.42,0.05,54.073022
STMN0493423983,FFX,215.831266,168.530476,27.345821,8.374253,48353.89,15274.03,9479.03,59,0,30.12,356,9,5,2.872296,2.246191,3.88,12.67,13.955346
STMN0104403733,FFX,290.699836,86.717573,40.378207,8.343085,24147.59,10818.03,11652.98,3,0,192.29,190,9,1,0.001272,0,2.87,13.89,66.147267
STMN0293017600,Private,251.301316,178.690752,55.814022,8.242683,55925.67,20503.71,13204.46,42,2,24.023526,413,10,2,5.499328,2.974391,3.28,22.21,9.55965
STMN0923479970,FFX,119.770995,26.239583,12.108848,8.168382,13408.52,7339.51,4575.92,2,0,3.94325,70,15,0,7.592729,0.073315,6.82,10.11,3.292325
STMN0251411495,FFX,41.660535,19.953625,2.233005,7.919668,9811.64,8507.38,741.55,2,0,38.29,79,9,2,1.05701,0.031711,19.01,5.36,91.909523
STMN0352021142,VDOT,42.903776,7.415181,4.466283,7.821358,7877.87,4891.56,938.15,3,0,15.67,40,10,0,0,0,18.23,10.41,36.523595
STMN0474073740,FFX,140.565332,58.810489,18.118871,7.773263,25680.6,12720.98,4993.05,14,0,8.93,182,18,0,3.555202,0.349019,5.53,12.89,6.352918
STMN0373029692,Private,105.419461,16.02727,12.228657,7.74833,8626.77,1720.2,4287.89,3,0,0.23,28,22,0,7.980834,0.002771,7.35,11.6,0.218176
