STORMNET_ID,Owner,total_acres,vdot_bmp_count,swe_perc,row_perc,total_convey_length_ft,swe_convey_length_ft,row_convey_length_ft,total_county_acres,imperv_county_acres
STMN0054057473,FFX,1.92,0,1.82,37.85,317.21,114.87,162.29,0.00,0.00
STMN0063401614,FFX,4.66,0,4.70,31.49,75.44,40.57,75.44,0.08,0.06
STMN0063401625,VDOT,28.50,0,2.50,12.95,2140.02,950.48,1069.41,3.32,0.00
STMN0063401626,FFX,36.67,0,4.48,26.10,4618.46,1197.49,2413.88,0.33,0.02
STMN0063401630,FFX,5.58,0,4.55,14.14,1370.40,980.55,117.19,0.11,0.00
STMN0063401640,FFX,2.21,0,2.57,41.01,259.69,213.75,54.40,0.01,0.00
STMN0063401690,FFX,6.36,0,3.43,24.72,1155.07,676.35,504.18,0.01,0.00
STMN0063401714,FFX,2.23,0,4.63,26.91,334.86,235.17,34.76,0.15,0.00
STMN0063401726,FFX,10.73,0,5.12,11.87,537.98,270.97,91.27,2.62,0.26
STMN0063401799,FFX,4.71,0,1.47,25.73,497.44,25.75,343.13,0.06,0.00
STMN0063401833,FFX,74.05,0,7.20,23.34,11339.14,4651.02,5289.37,4.41,0.00
STMN0063401840,FFX,10.63,0,26.56,14.27,1455.32,1170.46,202.41,2.78,0.00
STMN0063401876,VDOT,3.72,0,14.99,54.89,17.81,2.54,10.80,1.08,0.00
STMN0063503466,VDOT,5.10,1,0.11,66.99,1380.63,0.00,929.41,0.11,0.06
STMN0063054638,FFX,0.85,0,2.91,0.00,157.50,58.88,0.00,0.04,0.00
STMN0063054713,FFX,0.39,0,2.55,0.00,301.43,33.11,0.00,0.23,0.06
STMN0063401615,FFX,0.37,0,44.18,28.41,92.58,52.45,0.00,0.16,0.00
STMN0054503478,FFX,30.49,0,0.01,0.00,515.58,0.00,0.00,0.01,0.00
STML0353022833,VDOT,2.26,0,0.90,35.28,257.75,64.11,150.85,0.00,0.00
STMN0022066506,Loudoun County,9.81,0,2.94,11.66,262.16,129.88,4.17,0.00,0.00
STMN0022503316,Unknown,12.07,0,5.71,7.82,1773.11,1038.05,25.55,0.00,0.00
STMN0024400394,VDOT,2.58,0,1.20,24.30,49.74,1.51,49.74,0.00,0.00
STMN0024400398,FFX,6.37,0,1.85,17.45,236.74,50.36,196.49,0.00,0.00
STMN0024400403,FFX,8.39,0,2.11,8.37,582.91,204.41,408.78,0.00,0.00
STMN0024400430,FFX,6.19,0,1.63,10.48,235.20,107.96,127.48,0.00,0.00
STMN0024400436,VDOT,9.60,0,4.44,24.23,720.79,331.47,420.38,0.00,0.00
STMN0024400449,FFX,2.60,0,1.59,15.63,134.21,91.17,46.33,0.00,0.00
STMN0024400463,FFX,3.78,0,1.66,29.11,261.95,216.13,50.48,0.00,0.00
STMN0024400467,FFX,6.36,0,0.74,14.61,311.92,50.49,217.69,0.00,0.00
STMN0024400633,FFX,7.68,0,6.81,15.70,793.84,488.74,304.61,0.00,0.00
STMN0024400639,FFX,20.77,0,4.35,16.31,1368.43,1038.92,241.66,0.00,0.00
STMN0024400651,FFX,1.11,0,3.99,24.37,78.43,51.24,12.09,0.00,0.00
STMN0024400662,FFX,1.48,0,5.23,31.33,257.04,153.14,82.56,0.00,0.00
STMN0024400668,FFX,4.99,0,1.32,11.95,169.82,67.82,86.93,0.00,0.00
STMN0024400676,FFX,12.92,0,1.39,9.54,1245.03,646.31,543.32,0.00,0.00
STMN0024503333,FFX,6.91,0,0.50,28.95,580.55,89.14,492.37,0.00,0.00
STMN0024503344,Private,12.83,0,4.31,16.46,974.49,242.41,287.16,0.00,0.00
STMN0033400302,FFX,10.03,0,5.82,16.41,372.38,239.62,128.70,0.00,0.00
STMN0033400304,FFX,9.93,0,2.61,6.14,478.57,429.18,47.22,0.00,0.00
STMN0033400312,FFX,12.98,0,6.49,11.87,1091.56,876.94,197.96,0.00,0.00
STMN0033400357,FFX,22.26,0,6.29,11.62,608.18,469.64,125.26,0.00,0.00
STMN0033400371,FFX,3.24,0,0.52,20.59,115.86,58.24,59.22,0.00,0.00
STMN0034400205,FFX,1.70,0,4.85,31.29,430.87,98.36,345.82,0.00,0.00
STMN0034400214,FFX,0.79,0,4.90,47.35,313.76,144.96,148.15,0.00,0.00
STMN0034400215,VDOT,2.92,0,0.06,4.12,69.47,0.62,66.93,0.00,0.00
STMN0034400219,FFX,1.13,0,1.54,28.14,105.02,61.50,43.01,0.00,0.00
STMN0034400224,FFX,4.87,0,2.82,20.43,397.00,152.57,180.72,0.00,0.00
STMN0034400230,FFX,6.47,0,1.37,15.44,263.51,155.69,121.20,0.00,0.00
STMN0034400236,FFX,1.44,0,2.63,46.46,380.82,169.65,218.64,0.00,0.00
