STORMNET_ID,SUM_pervio,SUM_ImpAcr,Pct_NEW
STMN0024400398,5.321685642,1.052716577,0
STMN0024400403,6.719446291,1.665693409,0
STMN0024400430,5.335133333,0.855182715,0
STMN0024400449,2.247561285,0.356934867,0
STMN0024400463,3.068894345,0.709460611,0
STMN0024400467,5.11108099,1.244098263,0
STMN0024400633,6.436184271,1.240419026,0
STMN0024400639,17.34724527,3.419307229,0
STMN0024400651,0.9361875,0.170653622,0
STMN0024400654,0.315962989,0.058137217,0
STMN0024400656,2.452346942,0.310088867,0
STMN0024400662,1.055442715,0.424329121,0
STMN0024400666,3.050862626,0.474573393,0
STMN0024400668,3.9208372,1.065361904,0
STMN0024400676,11.09653572,1.82680709,0
STMN0024503333,5.451201118,1.456828009,0
STMN0033400302,8.565075059,1.469465322,0
STMN0033400303,1.339693975,0.241483273,0
STMN0033400304,8.344018728,1.585917986,0
STMN0033400305,0.841763296,0.206484409,0
STMN0033400312,10.46850654,2.506642223,0
STMN0033400347,0.694200946,0.306648267,0
STMN0033400357,19.18988974,3.071590609,0
STMN0033400371,2.56764459,0.674536076,0
STMN0034400205,1.27455076,0.420675876,0
STMN0034400214,0.545875517,0.243155116,0
STMN0034400219,0.894828474,0.238211262,0
STMN0034400224,3.850246101,1.017688388,0
STMN0034400230,5.22039775,1.253523538,0
STMN0034400236,1.017587365,0.420942844,0
STMN0034400241,1.041527413,0.572478845,0
STMN0034400244,0.718648788,0.359584801,0
STMN0034400286,17.23859991,1.94987862,0
STMN0034510878,1.48876062,0.564672836,0
STMN0043063277,1.568794953,0.360754129,0
STMN0043400131,0.839065522,0.233977405,0
STMN0043400134,1.258658451,0.202101344,0
STMN0043400138,6.216295484,0.842495902,0
STMN0043400153,4.974479188,1.182266744,0
STMN0043400157,2.072095457,0.404170014,0
STMN0043400160,5.735464201,1.190102784,0
STMN0043400167,3.326734905,1.155847716,0
STMN0043400172,2.759370341,0.933080183,0
STMN0043400175,0.441165447,0.267688293,0
STMN0043400177,1.175242417,0.363813545,0
STMN0043400180,5.675483613,1.257493517,0
STMN0043400183,5.852641091,1.558137833,0
STMN0043400185,8.104996252,1.439002538,0
STMN0054057441,0.565545059,0.85850986,0
STMN0054057473,0.998797597,0.917522778,0
STMN0054400522,2.92516892,2.015711484,0
STMN0054400551,8.527882081,6.707191746,72.35905799
STMN0054400592,11.13807373,6.300821361,0
STMN0054401960,42.95285386,23.41717914,0
STMN0054503478,22.59410344,7.896589749,0
STMN0061401250,0.95787236,0.348542932,0
STMN0061401254,1.05143061,0.462233728,0
STMN0061401257,2.618559774,0.689362802,0
STMN0061401272,2.279399841,0.912820374,0
STMN0061401275,2.107051195,0.608572878,0
STMN0061401293,2.239143489,0.734155829,0
STMN0061401304,8.23783085,2.693983136,0
STMN0061401306,3.240053898,0.923439997,0
STMN0061401320,5.804069116,1.58609056,0
STMN0061401326,3.303232484,1.073796478,0
STMN0061401328,1.936376579,0.504945211,0
STMN0061401339,10.90368209,2.388785398,0
STMN0061401357,3.982312068,1.424299926,0
STMN0061401358,1.254566095,0.488091474,0
STMN0061503399,1.788065666,0.474044015,0
STMN0062055123,10.01094506,2.223932574,0
STMN0062055386,0.995856096,0.645825302,0
STMN0062401116,4.236099064,0.565952844,0
STMN0062401120,0.444794413,0.139440899,0
STMN0062401121,1.438191278,0.480276931,0
STMN0062401149,7.654902022,1.857764505,0
STMN0062401229,4.463079366,1.407773522,0
STMN0063054638,0.608485717,0.237095039,0
STMN0063054640,0.05060707,0.000734436,0
STMN0063054713,0.277094131,0.108244864,0
STMN0063400479,5.827273325,2.897498897,0
STMN0063400485,1.408599602,1.243033818,0
STMN0063401590,3.474990599,0.788333918,0
STMN0063401592,1.519961243,0.577958381,0
STMN0063401602,0.540784029,5.872451275,0
STMN0063401614,1.769292861,2.887076768,0
STMN0063401615,0.372095587,-3.72E-11,0
