STORMNET_ID,VDOT Length,Easement Length,Total Conveyance Length,County Area,County Area Impervious
STMN0024400398,196.49,72.86,236.74,0,0
STMN0024400403,408.78,212,582.91,0,0
STMN0024400430,127.48,105.06,235.2,0,0
STMN0024400449,46.33,88.94,134.21,0,0
STMN0024400463,50.48,218.47,261.95,0,0
STMN0024400467,217.69,70.05,311.92,0,0
STMN0024400633,304.61,487.66,793.84,0,0
STMN0024400639,241.66,1036.78,1368.43,0,0
STMN0024400651,12.09,56.87,78.43,0,0
STMN0024400654,0,91.4,100.41,0,0
STMN0024400656,0,127.18,127.26,0,0
STMN0024400662,82.56,163.91,257.04,0,0
STMN0024400666,0,44.39,174.39,0,0
STMN0024400668,86.93,50.7,169.82,0,0
STMN0024400676,543.32,650.87,1245.03,0,0
STMN0024503333,492.37,89.25,580.55,0,0
STMN0033400302,128.7,239.26,372.38,0,0
STMN0033400303,0,175.69,186,0,0
STMN0033400304,47.22,122.34,478.57,0,0
STMN0033400305,0,144.49,240.19,0,0
STMN0033400312,197.96,884.27,1091.56,0,0
STMN0033400347,0,5.16,122.74,0,0
STMN0033400357,125.26,430.76,608.18,0,0
STMN0033400371,59.22,56.34,115.86,0,0
STMN0034400205,345.82,112.68,430.87,0,0
STMN0034400214,148.15,171.64,313.76,0,0
STMN0034400219,43.01,61.97,105.02,0,0
STMN0034400224,180.72,131.67,397,0,0
STMN0034400230,121.2,154.59,263.51,0,0
STMN0034400236,218.64,167.99,380.82,0,0
STMN0034400241,41.98,55.32,107.01,0,0
STMN0034400244,48.08,17.24,63.6,0,0
STMN0034400286,690.09,293.04,1135.14,0,0
STMN0034510878,210.67,41.73,377.05,0,0
STMN0043063277,56.7,90.15,144.61,0,0
STMN0043400131,19.68,212.52,259.98,0,0
STMN0043400134,0,0,85.53,0,0
STMN0043400138,53.21,81.07,131.53,0,0
STMN0043400153,73.99,178.42,540.36,0,0
STMN0043400157,69.22,263.24,342.77,0,0
STMN0043400160,103.33,226.44,317.61,0,0
STMN0043400167,147.19,271.98,689.13,0,0
STMN0043400172,90.9,331.97,743.16,0,0
STMN0043400175,96.87,0,340.84,0,0
STMN0043400177,110.47,315.19,422.64,0,0
STMN0043400180,267.27,311.21,732,0,0
STMN0043400183,5.46,266.44,356.12,0,0
STMN0043400185,0,331.18,736.88,0,0
STMN0054057441,0,274.63,631.07,0,0
STMN0054057473,162.29,110.58,317.21,12.03,0
STMN0054400522,95.63,305.51,498.18,0,0
STMN0054400551,1082.78,1571.98,2696.5,0,0
STMN0054400592,894.89,520.98,1881.91,0,0
STMN0054401960,5365.1,4504.12,10531.3,0,0
STMN0054503478,0,0,515.58,599.11,0
STMN0061401250,0,145.96,155.73,0,0
STMN0061401254,49.25,102.22,152.44,0,0
STMN0061401257,50.96,127.15,189.18,0,0
STMN0061401272,63.03,534.98,608.9,0,0
STMN0061401275,44.48,178.11,272.72,0,0
STMN0061401293,49.18,68.31,237.04,0,0
STMN0061401304,164.71,564.11,1024.83,0,0
STMN0061401306,111.09,30.19,150.75,0,0
STMN0061401320,234.5,946.5,1145.18,0,0
STMN0061401326,108.75,199.11,357.17,0,0
STMN0061401328,48.42,188.77,236.27,0,0
STMN0061401339,55.52,1075.16,1159.02,0,0
STMN0061401357,42.34,84.04,240.29,0,0
STMN0061401358,0,41.34,61.5,0,0
STMN0061503399,136.06,202.78,333.58,0,0
STMN0062055123,37.86,430.54,466.94,0,0
STMN0062055386,0,92.82,477.14,0,0
STMN0062401116,142.68,244.81,470.82,0,0
STMN0062401120,0,94.31,94.31,0,0
STMN0062401121,24.86,97.24,97.24,0,0
STMN0062401149,156.31,245.83,570.26,0,0
STMN0062401229,99.4,184.83,356.09,0,0
STMN0063054638,0,31.79,157.5,1557.61,0
STMN0063054640,0,31.35,31.35,0,0
STMN0063054713,0,43.02,301.43,10345.74,2469.77
STMN0063400479,1036.83,53,1115.49,0,0
STMN0063400485,892.32,30.57,1012.03,0,0
STMN0063401590,46.32,45.72,241.54,0,0
STMN0063401592,51.05,0.79,157.99,0,0
STMN0063401602,0,912.36,1181.12,0,0
STMN0063401614,75.44,43.15,75.44,3555.38,2678.62
STMN0063401615,0,50.15,92.58,7122.72,0
STMN0063401626,2413.88,1240.6,4618.46,14501.56,808.78
STMN0063401630,117.19,850.5,1370.4,4698.64,0
STMN0063401640,54.4,216.45,259.69,517.18,0
STMN0063401679,441.22,169.01,634.25,0,0
STMN0063401690,504.18,691,1155.07,306.24,0
STMN0063401691,227.82,463.93,698.78,0,0
STMN0063401714,34.76,257.78,334.86,6583.18,0
STMN0063401726,91.27,228.41,537.98,113801.43,11319.45
STMN0063401747,52.19,827.25,1031.51,0,0
STMN0063401748,379.84,653.2,1108.66,0,0
STMN0063401757,81.88,397.55,526.99,0,0
STMN0063401777,615.68,1348.62,1844.54,0,0
STMN0063401799,343.13,26.69,497.44,2569.37,0
STMN0063401803,49.44,265.18,311.92,0,0
STMN0063401833,5289.36,4675.41,11339.14,191628.34,162.71
STMN0063401840,202.41,1099.56,1455.32,120803.23,0
STMN0063401874,204.81,885.42,1207.82,0,0
STMN0063401919,964.19,775.03,2167.81,0,0
STMN0063401930,49.91,0,340.55,0,0
STMN0063401934,45.8,129.61,217.36,0,0
STMN0063503230,52.06,156.41,219.86,0,0
STMN0063503428,65.14,16.64,300.18,0,0
STMN0064000018,187.38,13.98,269.11,0,0
